method,k,avg_overlap,min_overlap,frac_ge_thr,full_agree_all
APC,3,0.15384615384615383,0,0.07692307692307693,FALSE
APC,5,0.2692307692307692,0,0.038461538461538464,FALSE
APC,10,0.2846153846153846,0,0,FALSE
APC,15,0.38717948717948714,0,0,FALSE
APC,20,0.4903846153846154,0,0,FALSE
CEV,3,0.3076923076923077,0,0.07692307692307693,FALSE
CEV,5,0.36923076923076925,0,0.15384615384615385,FALSE
CEV,10,0.5230769230769231,0,0.07692307692307693,FALSE
CEV,15,0.5641025641025641,0,0.07692307692307693,FALSE
CEV,20,0.6346153846153846,0,0.15384615384615385,FALSE
CV_t,3,0.30769230769230765,0,0.07692307692307693,FALSE
CV_t,5,0.36923076923076925,0,0.15384615384615385,FALSE
CV_t,10,0.5230769230769231,0,0.07692307692307693,FALSE
CV_t,15,0.5641025641025641,0,0.07692307692307693,FALSE
CV_t,20,0.6346153846153846,0,0.15384615384615385,FALSE
D_slope,3,0.24358974358974356,0,0,FALSE
D_slope,5,0.3923076923076923,0,0,FALSE
D_slope,10,0.4461538461538462,0,0,FALSE
D_slope,15,0.44871794871794873,0,0,FALSE
D_slope,20,0.5384615384615384,0,0,FALSE
ESP,3,0.3846153846153846,0,0.11538461538461539,FALSE
ESP,5,0.36923076923076925,0,0.15384615384615385,FALSE
ESP,10,0.4346153846153846,0,0.038461538461538464,FALSE
ESP,15,0.49230769230769234,0,0,FALSE
ESP,20,0.6346153846153846,0,0.15384615384615385,FALSE
ESPI,3,0.3205128205128205,0,0.11538461538461539,FALSE
ESPI,5,0.3538461538461538,0,0.11538461538461539,FALSE
ESPI,10,0.46538461538461534,0,0.11538461538461539,FALSE
ESPI,15,0.5102564102564102,0,0.11538461538461539,FALSE
ESPI,20,0.5461538461538462,0,0.11538461538461539,FALSE
ESPIID,3,0.15384615384615385,0,0.07692307692307693,FALSE
ESPIID,5,0.2692307692307692,0,0.038461538461538464,FALSE
ESPIID,10,0.4076923076923077,0,0.038461538461538464,FALSE
ESPIID,15,0.5205128205128206,0,0,FALSE
ESPIID,20,0.573076923076923,0,0,FALSE
EVS,3,0.24358974358974356,0,0,FALSE
EVS,5,0.2230769230769231,0,0,FALSE
EVS,10,0.3576923076923077,0,0,FALSE
EVS,15,0.4846153846153846,0,0,FALSE
EVS,20,0.5634615384615385,0,0,FALSE
NRW,3,0.3205128205128205,0,0.11538461538461539,FALSE
NRW,5,0.35384615384615387,0,0.11538461538461539,FALSE
NRW,10,0.4653846153846154,0,0.11538461538461539,FALSE
NRW,15,0.5102564102564102,0,0.11538461538461539,FALSE
NRW,20,0.5461538461538461,0,0.11538461538461539,FALSE
PFI,3,0.07692307692307691,0,0,FALSE
PFI,5,0.25384615384615383,0,0,FALSE
PFI,10,0.38846153846153847,0,0,FALSE
PFI,15,0.4615384615384615,0,0,FALSE
PFI,20,0.5826923076923077,0,0,FALSE
PILSM,3,0.3076923076923077,0,0.07692307692307693,FALSE
PILSM,5,0.36923076923076925,0,0.07692307692307693,FALSE
PILSM,10,0.46923076923076923,0,0.07692307692307693,FALSE
PILSM,15,0.5641025641025641,0,0.07692307692307693,FALSE
PILSM,20,0.6269230769230769,0,0.07692307692307693,FALSE
PIR,3,0.2948717948717949,0,0,FALSE
PIR,5,0.3076923076923077,0,0,FALSE
PIR,10,0.47307692307692306,0,0,FALSE
PIR,15,0.46410256410256406,0,0,FALSE
PIR,20,0.5923076923076923,0,0,FALSE
PImd,3,0.3076923076923077,0,0.07692307692307693,FALSE
PImd,5,0.36923076923076925,0,0.07692307692307693,FALSE
PImd,10,0.46923076923076923,0,0.07692307692307693,FALSE
PImd,15,0.5641025641025641,0,0.07692307692307693,FALSE
PImd,20,0.6269230769230769,0,0.07692307692307693,FALSE
PPF,3,0.16666666666666666,0,0.038461538461538464,FALSE
PPF,5,0.16923076923076924,0,0.038461538461538464,FALSE
PPF,10,0.4230769230769231,0,0,FALSE
PPF,15,0.5384615384615384,0,0,FALSE
PPF,20,0.625,0,0,FALSE
PPi,3,0.30769230769230765,0,0.07692307692307693,FALSE
PPi,5,0.36923076923076925,0,0.07692307692307693,FALSE
PPi,10,0.46923076923076923,0,0.07692307692307693,FALSE
PPi,15,0.5641025641025641,0,0.07692307692307693,FALSE
PPi,20,0.6269230769230769,0,0.07692307692307693,FALSE
PQ,3,0.3205128205128205,0,0.11538461538461539,FALSE
PQ,5,0.35384615384615387,0,0.11538461538461539,FALSE
PQ,10,0.4653846153846154,0,0.11538461538461539,FALSE
PQ,15,0.5102564102564102,0,0.11538461538461539,FALSE
PQ,20,0.5461538461538462,0,0.11538461538461539,FALSE
PR,3,0.3205128205128205,0,0.11538461538461539,FALSE
PR,5,0.35384615384615387,0,0.11538461538461539,FALSE
PR,10,0.4653846153846154,0,0.11538461538461539,FALSE
PR,15,0.5102564102564102,0,0.11538461538461539,FALSE
PR,20,0.5461538461538462,0,0.11538461538461539,FALSE
PSI,3,0,0,0,FALSE
PSI,5,0,0,0,FALSE
PSI,10,0.1076923076923077,0,0,FALSE
PSI,15,0.19743589743589743,0,0,FALSE
PSI,20,0.37115384615384617,0,0,FALSE
RC,3,0.3846153846153846,0,0.11538461538461539,FALSE
RC,5,0.36923076923076925,0,0.15384615384615385,FALSE
RC,10,0.4346153846153846,0,0.038461538461538464,FALSE
RC,15,0.4717948717948718,0,0,FALSE
RC,20,0.6346153846153846,0,0.15384615384615385,FALSE
RDPI,3,0.3846153846153846,0,0.11538461538461539,FALSE
RDPI,5,0.4,0,0.038461538461538464,FALSE
RDPI,10,0.4846153846153846,0,0.038461538461538464,FALSE
RDPI,15,0.5256410256410257,0,0.038461538461538464,FALSE
RDPI,20,0.6153846153846154,0,0.038461538461538464,FALSE
RN,3,0.15384615384615383,0,0,FALSE
RN,5,0.11538461538461538,0,0,FALSE
RN,10,0.23846153846153845,0,0,FALSE
RN,15,0.28205128205128205,0,0,FALSE
RN,20,0.3096153846153846,0,0.038461538461538464,FALSE
RNN,3,0.15384615384615385,0,0.07692307692307693,FALSE
RNN,5,0.36923076923076925,0,0,FALSE
RNN,10,0.4076923076923077,0,0.038461538461538464,FALSE
RNN,15,0.5025641025641026,0,0,FALSE
RNN,20,0.5961538461538461,0,0,FALSE
RPI,3,0.3846153846153846,0,0.11538461538461539,FALSE
RPI,5,0.4,0,0.038461538461538464,FALSE
RPI,10,0.4846153846153846,0,0.038461538461538464,FALSE
RPI,15,0.5256410256410257,0,0.038461538461538464,FALSE
RPI,20,0.6153846153846154,0,0.038461538461538464,FALSE
RSI,3,0,0,0,FALSE
RSI,5,0,0,0,FALSE
RSI,10,0.0038461538461538464,0,0,FALSE
RSI,15,0.010256410256410256,0,0,FALSE
RSI,20,0.02884615384615384,0,0,FALSE
RTR,3,0.16666666666666666,0,0.038461538461538464,FALSE
RTR,5,0.16923076923076924,0,0.038461538461538464,FALSE
RTR,10,0.24615384615384614,0,0,FALSE
RTR,15,0.2794871794871795,0,0,FALSE
RTR,20,0.3096153846153846,0,0.038461538461538464,FALSE
SI,3,0.37179487179487175,0,0,FALSE
SI,5,0.38461538461538464,0,0,FALSE
SI,10,0.43846153846153846,0,0,FALSE
SI,15,0.5307692307692308,0,0,FALSE
SI,20,0.6384615384615384,0,0,FALSE
gPi,3,0.30769230769230765,0,0.07692307692307693,FALSE
gPi,5,0.36923076923076925,0,0.15384615384615385,FALSE
gPi,10,0.5230769230769231,0,0.07692307692307693,FALSE
gPi,15,0.5641025641025641,0,0.07692307692307693,FALSE
gPi,20,0.6346153846153846,0,0.15384615384615385,FALSE
