tag,score_i,score_j,k,overlap,overlap_frac
full_res10,CV_t,RN,3,0,0
full_res10,CV_t,RN,5,0,0
full_res10,CV_t,RN,10,3,0.3
full_res10,CV_t,RN,15,3,0.2
full_res10,CV_t,RN,20,7,0.35
full_res10,CV_t,RNN,3,0,0
full_res10,CV_t,RNN,5,1,0.2
full_res10,CV_t,RNN,10,3,0.3
full_res10,CV_t,RNN,15,6,0.4
full_res10,CV_t,RNN,20,11,0.55
full_res10,CV_t,D_slope,3,0,0
full_res10,CV_t,D_slope,5,1,0.2
full_res10,CV_t,D_slope,10,4,0.4
full_res10,CV_t,D_slope,15,5,0.3333333333333333
full_res10,CV_t,D_slope,20,9,0.45
full_res10,CV_t,RC,3,2,0.6666666666666666
full_res10,CV_t,RC,5,5,1
full_res10,CV_t,RC,10,7,0.7
full_res10,CV_t,RC,15,11,0.7333333333333333
full_res10,CV_t,RC,20,20,1
full_res10,CV_t,gPi,3,3,1
full_res10,CV_t,gPi,5,5,1
full_res10,CV_t,gPi,10,10,1
full_res10,CV_t,gPi,15,15,1
full_res10,CV_t,gPi,20,20,1
full_res10,CV_t,PPF,3,0,0
full_res10,CV_t,PPF,5,1,0.2
full_res10,CV_t,PPF,10,7,0.7
full_res10,CV_t,PPF,15,11,0.7333333333333333
full_res10,CV_t,PPF,20,17,0.85
full_res10,CV_t,PPi,3,2,0.6666666666666666
full_res10,CV_t,PPi,5,2,0.4
full_res10,CV_t,PPi,10,7,0.7
full_res10,CV_t,PPi,15,13,0.8666666666666667
full_res10,CV_t,PPi,20,17,0.85
full_res10,CV_t,PImd,3,2,0.6666666666666666
full_res10,CV_t,PImd,5,2,0.4
full_res10,CV_t,PImd,10,7,0.7
full_res10,CV_t,PImd,15,13,0.8666666666666667
full_res10,CV_t,PImd,20,17,0.85
full_res10,CV_t,PILSM,3,2,0.6666666666666666
full_res10,CV_t,PILSM,5,2,0.4
full_res10,CV_t,PILSM,10,7,0.7
full_res10,CV_t,PILSM,15,13,0.8666666666666667
full_res10,CV_t,PILSM,20,17,0.85
full_res10,CV_t,RTR,3,0,0
full_res10,CV_t,RTR,5,1,0.2
full_res10,CV_t,RTR,10,3,0.3
full_res10,CV_t,RTR,15,3,0.2
full_res10,CV_t,RTR,20,7,0.35
full_res10,CV_t,PIR,3,2,0.6666666666666666
full_res10,CV_t,PIR,5,3,0.6
full_res10,CV_t,PIR,10,7,0.7
full_res10,CV_t,PIR,15,9,0.6
full_res10,CV_t,PIR,20,16,0.8
full_res10,CV_t,RDPI,3,2,0.6666666666666666
full_res10,CV_t,RDPI,5,3,0.6
full_res10,CV_t,RDPI,10,8,0.8
full_res10,CV_t,RDPI,15,13,0.8666666666666667
full_res10,CV_t,RDPI,20,19,0.95
full_res10,CV_t,ESPI,3,0,0
full_res10,CV_t,ESPI,5,1,0.2
full_res10,CV_t,ESPI,10,4,0.4
full_res10,CV_t,ESPI,15,6,0.4
full_res10,CV_t,ESPI,20,8,0.4
full_res10,CV_t,ESPIID,3,0,0
full_res10,CV_t,ESPIID,5,0,0
full_res10,CV_t,ESPIID,10,3,0.3
full_res10,CV_t,ESPIID,15,7,0.4666666666666667
full_res10,CV_t,ESPIID,20,10,0.5
full_res10,CV_t,PSI,3,0,0
full_res10,CV_t,PSI,5,0,0
full_res10,CV_t,PSI,10,2,0.2
full_res10,CV_t,PSI,15,4,0.26666666666666666
full_res10,CV_t,PSI,20,6,0.3
full_res10,CV_t,RPI,3,2,0.6666666666666666
full_res10,CV_t,RPI,5,3,0.6
full_res10,CV_t,RPI,10,8,0.8
full_res10,CV_t,RPI,15,13,0.8666666666666667
full_res10,CV_t,RPI,20,19,0.95
full_res10,CV_t,PQ,3,0,0
full_res10,CV_t,PQ,5,1,0.2
full_res10,CV_t,PQ,10,4,0.4
full_res10,CV_t,PQ,15,6,0.4
full_res10,CV_t,PQ,20,8,0.4
full_res10,CV_t,PR,3,0,0
full_res10,CV_t,PR,5,1,0.2
full_res10,CV_t,PR,10,4,0.4
full_res10,CV_t,PR,15,6,0.4
full_res10,CV_t,PR,20,8,0.4
full_res10,CV_t,NRW,3,0,0
full_res10,CV_t,NRW,5,1,0.2
full_res10,CV_t,NRW,10,4,0.4
full_res10,CV_t,NRW,15,6,0.4
full_res10,CV_t,NRW,20,8,0.4
full_res10,CV_t,ESP,3,2,0.6666666666666666
full_res10,CV_t,ESP,5,5,1
full_res10,CV_t,ESP,10,7,0.7
full_res10,CV_t,ESP,15,12,0.8
full_res10,CV_t,ESP,20,20,1
full_res10,CV_t,CEV,3,3,1
full_res10,CV_t,CEV,5,5,1
full_res10,CV_t,CEV,10,10,1
full_res10,CV_t,CEV,15,15,1
full_res10,CV_t,CEV,20,20,1
full_res10,CV_t,PFI,3,1,0.3333333333333333
full_res10,CV_t,PFI,5,2,0.4
full_res10,CV_t,PFI,10,6,0.6
full_res10,CV_t,PFI,15,9,0.6
full_res10,CV_t,PFI,20,13,0.65
full_res10,CV_t,APC,3,0,0
full_res10,CV_t,APC,5,0,0
full_res10,CV_t,APC,10,2,0.2
full_res10,CV_t,APC,15,6,0.4
full_res10,CV_t,APC,20,8,0.4
full_res10,CV_t,SI,3,1,0.3333333333333333
full_res10,CV_t,SI,5,2,0.4
full_res10,CV_t,SI,10,6,0.6
full_res10,CV_t,SI,15,10,0.6666666666666666
full_res10,CV_t,SI,20,15,0.75
full_res10,CV_t,RSI,3,0,0
full_res10,CV_t,RSI,5,0,0
full_res10,CV_t,RSI,10,0,0
full_res10,CV_t,RSI,15,0,0
full_res10,CV_t,RSI,20,0,0
full_res10,CV_t,EVS,3,0,0
full_res10,CV_t,EVS,5,1,0.2
full_res10,CV_t,EVS,10,3,0.3
full_res10,CV_t,EVS,15,5,0.3333333333333333
full_res10,CV_t,EVS,20,10,0.5
full_res10,RN,RNN,3,0,0
full_res10,RN,RNN,5,0,0
full_res10,RN,RNN,10,1,0.1
full_res10,RN,RNN,15,4,0.26666666666666666
full_res10,RN,RNN,20,5,0.25
full_res10,RN,D_slope,3,1,0.3333333333333333
full_res10,RN,D_slope,5,1,0.2
full_res10,RN,D_slope,10,4,0.4
full_res10,RN,D_slope,15,6,0.4
full_res10,RN,D_slope,20,7,0.35
full_res10,RN,RC,3,0,0
full_res10,RN,RC,5,0,0
full_res10,RN,RC,10,3,0.3
full_res10,RN,RC,15,6,0.4
full_res10,RN,RC,20,7,0.35
full_res10,RN,gPi,3,0,0
full_res10,RN,gPi,5,0,0
full_res10,RN,gPi,10,3,0.3
full_res10,RN,gPi,15,3,0.2
full_res10,RN,gPi,20,7,0.35
full_res10,RN,PPF,3,2,0.6666666666666666
full_res10,RN,PPF,5,2,0.4
full_res10,RN,PPF,10,5,0.5
full_res10,RN,PPF,15,7,0.4666666666666667
full_res10,RN,PPF,20,8,0.4
full_res10,RN,PPi,3,0,0
full_res10,RN,PPi,5,0,0
full_res10,RN,PPi,10,1,0.1
full_res10,RN,PPi,15,3,0.2
full_res10,RN,PPi,20,4,0.2
full_res10,RN,PImd,3,0,0
full_res10,RN,PImd,5,0,0
full_res10,RN,PImd,10,1,0.1
full_res10,RN,PImd,15,3,0.2
full_res10,RN,PImd,20,4,0.2
full_res10,RN,PILSM,3,0,0
full_res10,RN,PILSM,5,0,0
full_res10,RN,PILSM,10,1,0.1
full_res10,RN,PILSM,15,3,0.2
full_res10,RN,PILSM,20,4,0.2
full_res10,RN,RTR,3,2,0.6666666666666666
full_res10,RN,RTR,5,2,0.4
full_res10,RN,RTR,10,7,0.7
full_res10,RN,RTR,15,14,0.9333333333333333
full_res10,RN,RTR,20,20,1
full_res10,RN,PIR,3,0,0
full_res10,RN,PIR,5,0,0
full_res10,RN,PIR,10,3,0.3
full_res10,RN,PIR,15,8,0.5333333333333333
full_res10,RN,PIR,20,9,0.45
full_res10,RN,RDPI,3,0,0
full_res10,RN,RDPI,5,0,0
full_res10,RN,RDPI,10,2,0.2
full_res10,RN,RDPI,15,4,0.26666666666666666
full_res10,RN,RDPI,20,7,0.35
full_res10,RN,ESPI,3,1,0.3333333333333333
full_res10,RN,ESPI,5,1,0.2
full_res10,RN,ESPI,10,3,0.3
full_res10,RN,ESPI,15,5,0.3333333333333333
full_res10,RN,ESPI,20,6,0.3
full_res10,RN,ESPIID,3,0,0
full_res10,RN,ESPIID,5,0,0
full_res10,RN,ESPIID,10,1,0.1
full_res10,RN,ESPIID,15,4,0.26666666666666666
full_res10,RN,ESPIID,20,4,0.2
full_res10,RN,PSI,3,0,0
full_res10,RN,PSI,5,0,0
full_res10,RN,PSI,10,0,0
full_res10,RN,PSI,15,0,0
full_res10,RN,PSI,20,0,0
full_res10,RN,RPI,3,0,0
full_res10,RN,RPI,5,0,0
full_res10,RN,RPI,10,2,0.2
full_res10,RN,RPI,15,4,0.26666666666666666
full_res10,RN,RPI,20,7,0.35
full_res10,RN,PQ,3,1,0.3333333333333333
full_res10,RN,PQ,5,1,0.2
full_res10,RN,PQ,10,3,0.3
full_res10,RN,PQ,15,5,0.3333333333333333
full_res10,RN,PQ,20,6,0.3
full_res10,RN,PR,3,1,0.3333333333333333
full_res10,RN,PR,5,1,0.2
full_res10,RN,PR,10,3,0.3
full_res10,RN,PR,15,5,0.3333333333333333
full_res10,RN,PR,20,6,0.3
full_res10,RN,NRW,3,1,0.3333333333333333
full_res10,RN,NRW,5,1,0.2
full_res10,RN,NRW,10,3,0.3
full_res10,RN,NRW,15,5,0.3333333333333333
full_res10,RN,NRW,20,6,0.3
full_res10,RN,ESP,3,0,0
full_res10,RN,ESP,5,0,0
full_res10,RN,ESP,10,3,0.3
full_res10,RN,ESP,15,5,0.3333333333333333
full_res10,RN,ESP,20,7,0.35
full_res10,RN,CEV,3,0,0
full_res10,RN,CEV,5,0,0
full_res10,RN,CEV,10,3,0.3
full_res10,RN,CEV,15,3,0.2
full_res10,RN,CEV,20,7,0.35
full_res10,RN,PFI,3,0,0
full_res10,RN,PFI,5,0,0
full_res10,RN,PFI,10,0,0
full_res10,RN,PFI,15,0,0
full_res10,RN,PFI,20,3,0.15
full_res10,RN,APC,3,0,0
full_res10,RN,APC,5,0,0
full_res10,RN,APC,10,0,0
full_res10,RN,APC,15,0,0
full_res10,RN,APC,20,2,0.1
full_res10,RN,SI,3,1,0.3333333333333333
full_res10,RN,SI,5,2,0.4
full_res10,RN,SI,10,3,0.3
full_res10,RN,SI,15,4,0.26666666666666666
full_res10,RN,SI,20,6,0.3
full_res10,RN,RSI,3,0,0
full_res10,RN,RSI,5,0,0
full_res10,RN,RSI,10,0,0
full_res10,RN,RSI,15,1,0.06666666666666667
full_res10,RN,RSI,20,6,0.3
full_res10,RN,EVS,3,2,0.6666666666666666
full_res10,RN,EVS,5,4,0.8
full_res10,RN,EVS,10,4,0.4
full_res10,RN,EVS,15,5,0.3333333333333333
full_res10,RN,EVS,20,6,0.3
full_res10,RNN,D_slope,3,2,0.6666666666666666
full_res10,RNN,D_slope,5,4,0.8
full_res10,RNN,D_slope,10,7,0.7
full_res10,RNN,D_slope,15,11,0.7333333333333333
full_res10,RNN,D_slope,20,17,0.85
full_res10,RNN,RC,3,0,0
full_res10,RNN,RC,5,1,0.2
full_res10,RNN,RC,10,2,0.2
full_res10,RNN,RC,15,4,0.26666666666666666
full_res10,RNN,RC,20,11,0.55
full_res10,RNN,gPi,3,0,0
full_res10,RNN,gPi,5,1,0.2
full_res10,RNN,gPi,10,3,0.3
full_res10,RNN,gPi,15,6,0.4
full_res10,RNN,gPi,20,11,0.55
full_res10,RNN,PPF,3,0,0
full_res10,RNN,PPF,5,0,0
full_res10,RNN,PPF,10,2,0.2
full_res10,RNN,PPF,15,6,0.4
full_res10,RNN,PPF,20,11,0.55
full_res10,RNN,PPi,3,0,0
full_res10,RNN,PPi,5,2,0.4
full_res10,RNN,PPi,10,3,0.3
full_res10,RNN,PPi,15,6,0.4
full_res10,RNN,PPi,20,11,0.55
full_res10,RNN,PImd,3,0,0
full_res10,RNN,PImd,5,2,0.4
full_res10,RNN,PImd,10,3,0.3
full_res10,RNN,PImd,15,6,0.4
full_res10,RNN,PImd,20,11,0.55
full_res10,RNN,PILSM,3,0,0
full_res10,RNN,PILSM,5,2,0.4
full_res10,RNN,PILSM,10,3,0.3
full_res10,RNN,PILSM,15,6,0.4
full_res10,RNN,PILSM,20,11,0.55
full_res10,RNN,RTR,3,0,0
full_res10,RNN,RTR,5,0,0
full_res10,RNN,RTR,10,1,0.1
full_res10,RNN,RTR,15,4,0.26666666666666666
full_res10,RNN,RTR,20,5,0.25
full_res10,RNN,PIR,3,0,0
full_res10,RNN,PIR,5,1,0.2
full_res10,RNN,PIR,10,3,0.3
full_res10,RNN,PIR,15,5,0.3333333333333333
full_res10,RNN,PIR,20,10,0.5
full_res10,RNN,RDPI,3,0,0
full_res10,RNN,RDPI,5,2,0.4
full_res10,RNN,RDPI,10,3,0.3
full_res10,RNN,RDPI,15,5,0.3333333333333333
full_res10,RNN,RDPI,20,10,0.5
full_res10,RNN,ESPI,3,1,0.3333333333333333
full_res10,RNN,ESPI,5,4,0.8
full_res10,RNN,ESPI,10,8,0.8
full_res10,RNN,ESPI,15,14,0.9333333333333333
full_res10,RNN,ESPI,20,17,0.85
full_res10,RNN,ESPIID,3,3,1
full_res10,RNN,ESPIID,5,4,0.8
full_res10,RNN,ESPIID,10,10,1
full_res10,RNN,ESPIID,15,14,0.9333333333333333
full_res10,RNN,ESPIID,20,18,0.9
full_res10,RNN,PSI,3,0,0
full_res10,RNN,PSI,5,0,0
full_res10,RNN,PSI,10,0,0
full_res10,RNN,PSI,15,3,0.2
full_res10,RNN,PSI,20,9,0.45
full_res10,RNN,RPI,3,0,0
full_res10,RNN,RPI,5,2,0.4
full_res10,RNN,RPI,10,3,0.3
full_res10,RNN,RPI,15,5,0.3333333333333333
full_res10,RNN,RPI,20,10,0.5
full_res10,RNN,PQ,3,1,0.3333333333333333
full_res10,RNN,PQ,5,4,0.8
full_res10,RNN,PQ,10,8,0.8
full_res10,RNN,PQ,15,14,0.9333333333333333
full_res10,RNN,PQ,20,17,0.85
full_res10,RNN,PR,3,1,0.3333333333333333
full_res10,RNN,PR,5,4,0.8
full_res10,RNN,PR,10,8,0.8
full_res10,RNN,PR,15,14,0.9333333333333333
full_res10,RNN,PR,20,17,0.85
full_res10,RNN,NRW,3,1,0.3333333333333333
full_res10,RNN,NRW,5,4,0.8
full_res10,RNN,NRW,10,8,0.8
full_res10,RNN,NRW,15,14,0.9333333333333333
full_res10,RNN,NRW,20,17,0.85
full_res10,RNN,ESP,3,0,0
full_res10,RNN,ESP,5,1,0.2
full_res10,RNN,ESP,10,2,0.2
full_res10,RNN,ESP,15,4,0.26666666666666666
full_res10,RNN,ESP,20,11,0.55
full_res10,RNN,CEV,3,0,0
full_res10,RNN,CEV,5,1,0.2
full_res10,RNN,CEV,10,3,0.3
full_res10,RNN,CEV,15,6,0.4
full_res10,RNN,CEV,20,11,0.55
full_res10,RNN,PFI,3,0,0
full_res10,RNN,PFI,5,1,0.2
full_res10,RNN,PFI,10,4,0.4
full_res10,RNN,PFI,15,8,0.5333333333333333
full_res10,RNN,PFI,20,12,0.6
full_res10,RNN,APC,3,3,1
full_res10,RNN,APC,5,4,0.8
full_res10,RNN,APC,10,8,0.8
full_res10,RNN,APC,15,9,0.6
full_res10,RNN,APC,20,13,0.65
full_res10,RNN,SI,3,0,0
full_res10,RNN,SI,5,2,0.4
full_res10,RNN,SI,10,5,0.5
full_res10,RNN,SI,15,9,0.6
full_res10,RNN,SI,20,16,0.8
full_res10,RNN,RSI,3,0,0
full_res10,RNN,RSI,5,0,0
full_res10,RNN,RSI,10,0,0
full_res10,RNN,RSI,15,0,0
full_res10,RNN,RSI,20,0,0
full_res10,RNN,EVS,3,0,0
full_res10,RNN,EVS,5,1,0.2
full_res10,RNN,EVS,10,5,0.5
full_res10,RNN,EVS,15,13,0.8666666666666667
full_res10,RNN,EVS,20,18,0.9
full_res10,D_slope,RC,3,0,0
full_res10,D_slope,RC,5,1,0.2
full_res10,D_slope,RC,10,3,0.3
full_res10,D_slope,RC,15,4,0.26666666666666666
full_res10,D_slope,RC,20,9,0.45
full_res10,D_slope,gPi,3,0,0
full_res10,D_slope,gPi,5,1,0.2
full_res10,D_slope,gPi,10,4,0.4
full_res10,D_slope,gPi,15,5,0.3333333333333333
full_res10,D_slope,gPi,20,9,0.45
full_res10,D_slope,PPF,3,1,0.3333333333333333
full_res10,D_slope,PPF,5,1,0.2
full_res10,D_slope,PPF,10,4,0.4
full_res10,D_slope,PPF,15,6,0.4
full_res10,D_slope,PPF,20,9,0.45
full_res10,D_slope,PPi,3,0,0
full_res10,D_slope,PPi,5,2,0.4
full_res10,D_slope,PPi,10,3,0.3
full_res10,D_slope,PPi,15,6,0.4
full_res10,D_slope,PPi,20,9,0.45
full_res10,D_slope,PImd,3,0,0
full_res10,D_slope,PImd,5,2,0.4
full_res10,D_slope,PImd,10,3,0.3
full_res10,D_slope,PImd,15,6,0.4
full_res10,D_slope,PImd,20,9,0.45
full_res10,D_slope,PILSM,3,0,0
full_res10,D_slope,PILSM,5,2,0.4
full_res10,D_slope,PILSM,10,3,0.3
full_res10,D_slope,PILSM,15,6,0.4
full_res10,D_slope,PILSM,20,9,0.45
full_res10,D_slope,RTR,3,1,0.3333333333333333
full_res10,D_slope,RTR,5,1,0.2
full_res10,D_slope,RTR,10,4,0.4
full_res10,D_slope,RTR,15,6,0.4
full_res10,D_slope,RTR,20,7,0.35
full_res10,D_slope,PIR,3,0,0
full_res10,D_slope,PIR,5,1,0.2
full_res10,D_slope,PIR,10,4,0.4
full_res10,D_slope,PIR,15,5,0.3333333333333333
full_res10,D_slope,PIR,20,9,0.45
full_res10,D_slope,RDPI,3,0,0
full_res10,D_slope,RDPI,5,2,0.4
full_res10,D_slope,RDPI,10,3,0.3
full_res10,D_slope,RDPI,15,5,0.3333333333333333
full_res10,D_slope,RDPI,20,9,0.45
full_res10,D_slope,ESPI,3,2,0.6666666666666666
full_res10,D_slope,ESPI,5,4,0.8
full_res10,D_slope,ESPI,10,8,0.8
full_res10,D_slope,ESPI,15,12,0.8
full_res10,D_slope,ESPI,20,17,0.85
full_res10,D_slope,ESPIID,3,2,0.6666666666666666
full_res10,D_slope,ESPIID,5,3,0.6
full_res10,D_slope,ESPIID,10,7,0.7
full_res10,D_slope,ESPIID,15,10,0.6666666666666666
full_res10,D_slope,ESPIID,20,15,0.75
full_res10,D_slope,PSI,3,0,0
full_res10,D_slope,PSI,5,0,0
full_res10,D_slope,PSI,10,0,0
full_res10,D_slope,PSI,15,1,0.06666666666666667
full_res10,D_slope,PSI,20,6,0.3
full_res10,D_slope,RPI,3,0,0
full_res10,D_slope,RPI,5,2,0.4
full_res10,D_slope,RPI,10,3,0.3
full_res10,D_slope,RPI,15,5,0.3333333333333333
full_res10,D_slope,RPI,20,9,0.45
full_res10,D_slope,PQ,3,2,0.6666666666666666
full_res10,D_slope,PQ,5,4,0.8
full_res10,D_slope,PQ,10,8,0.8
full_res10,D_slope,PQ,15,12,0.8
full_res10,D_slope,PQ,20,17,0.85
full_res10,D_slope,PR,3,2,0.6666666666666666
full_res10,D_slope,PR,5,4,0.8
full_res10,D_slope,PR,10,8,0.8
full_res10,D_slope,PR,15,12,0.8
full_res10,D_slope,PR,20,17,0.85
full_res10,D_slope,NRW,3,2,0.6666666666666666
full_res10,D_slope,NRW,5,4,0.8
full_res10,D_slope,NRW,10,8,0.8
full_res10,D_slope,NRW,15,12,0.8
full_res10,D_slope,NRW,20,17,0.85
full_res10,D_slope,ESP,3,0,0
full_res10,D_slope,ESP,5,1,0.2
full_res10,D_slope,ESP,10,3,0.3
full_res10,D_slope,ESP,15,4,0.26666666666666666
full_res10,D_slope,ESP,20,9,0.45
full_res10,D_slope,CEV,3,0,0
full_res10,D_slope,CEV,5,1,0.2
full_res10,D_slope,CEV,10,4,0.4
full_res10,D_slope,CEV,15,5,0.3333333333333333
full_res10,D_slope,CEV,20,9,0.45
full_res10,D_slope,PFI,3,0,0
full_res10,D_slope,PFI,5,1,0.2
full_res10,D_slope,PFI,10,3,0.3
full_res10,D_slope,PFI,15,5,0.3333333333333333
full_res10,D_slope,PFI,20,9,0.45
full_res10,D_slope,APC,3,2,0.6666666666666666
full_res10,D_slope,APC,5,3,0.6
full_res10,D_slope,APC,10,5,0.5
full_res10,D_slope,APC,15,5,0.3333333333333333
full_res10,D_slope,APC,20,10,0.5
full_res10,D_slope,SI,3,1,0.3333333333333333
full_res10,D_slope,SI,5,3,0.6
full_res10,D_slope,SI,10,6,0.6
full_res10,D_slope,SI,15,8,0.5333333333333333
full_res10,D_slope,SI,20,14,0.7
full_res10,D_slope,RSI,3,0,0
full_res10,D_slope,RSI,5,0,0
full_res10,D_slope,RSI,10,0,0
full_res10,D_slope,RSI,15,0,0
full_res10,D_slope,RSI,20,0,0
full_res10,D_slope,EVS,3,1,0.3333333333333333
full_res10,D_slope,EVS,5,2,0.4
full_res10,D_slope,EVS,10,7,0.7
full_res10,D_slope,EVS,15,13,0.8666666666666667
full_res10,D_slope,EVS,20,19,0.95
full_res10,RC,gPi,3,2,0.6666666666666666
full_res10,RC,gPi,5,5,1
full_res10,RC,gPi,10,7,0.7
full_res10,RC,gPi,15,11,0.7333333333333333
full_res10,RC,gPi,20,20,1
full_res10,RC,PPF,3,0,0
full_res10,RC,PPF,5,1,0.2
full_res10,RC,PPF,10,5,0.5
full_res10,RC,PPF,15,11,0.7333333333333333
full_res10,RC,PPF,20,17,0.85
full_res10,RC,PPi,3,2,0.6666666666666666
full_res10,RC,PPi,5,2,0.4
full_res10,RC,PPi,10,6,0.6
full_res10,RC,PPi,15,10,0.6666666666666666
full_res10,RC,PPi,20,17,0.85
full_res10,RC,PImd,3,2,0.6666666666666666
full_res10,RC,PImd,5,2,0.4
full_res10,RC,PImd,10,6,0.6
full_res10,RC,PImd,15,10,0.6666666666666666
full_res10,RC,PImd,20,17,0.85
full_res10,RC,PILSM,3,2,0.6666666666666666
full_res10,RC,PILSM,5,2,0.4
full_res10,RC,PILSM,10,6,0.6
full_res10,RC,PILSM,15,10,0.6666666666666666
full_res10,RC,PILSM,20,17,0.85
full_res10,RC,RTR,3,0,0
full_res10,RC,RTR,5,1,0.2
full_res10,RC,RTR,10,3,0.3
full_res10,RC,RTR,15,6,0.4
full_res10,RC,RTR,20,7,0.35
full_res10,RC,PIR,3,2,0.6666666666666666
full_res10,RC,PIR,5,3,0.6
full_res10,RC,PIR,10,6,0.6
full_res10,RC,PIR,15,9,0.6
full_res10,RC,PIR,20,16,0.8
full_res10,RC,RDPI,3,3,1
full_res10,RC,RDPI,5,3,0.6
full_res10,RC,RDPI,10,8,0.8
full_res10,RC,RDPI,15,12,0.8
full_res10,RC,RDPI,20,19,0.95
full_res10,RC,ESPI,3,1,0.3333333333333333
full_res10,RC,ESPI,5,1,0.2
full_res10,RC,ESPI,10,3,0.3
full_res10,RC,ESPI,15,4,0.26666666666666666
full_res10,RC,ESPI,20,8,0.4
full_res10,RC,ESPIID,3,0,0
full_res10,RC,ESPIID,5,0,0
full_res10,RC,ESPIID,10,2,0.2
full_res10,RC,ESPIID,15,5,0.3333333333333333
full_res10,RC,ESPIID,20,10,0.5
full_res10,RC,PSI,3,0,0
full_res10,RC,PSI,5,0,0
full_res10,RC,PSI,10,1,0.1
full_res10,RC,PSI,15,2,0.13333333333333333
full_res10,RC,PSI,20,6,0.3
full_res10,RC,RPI,3,3,1
full_res10,RC,RPI,5,3,0.6
full_res10,RC,RPI,10,8,0.8
full_res10,RC,RPI,15,12,0.8
full_res10,RC,RPI,20,19,0.95
full_res10,RC,PQ,3,1,0.3333333333333333
full_res10,RC,PQ,5,1,0.2
full_res10,RC,PQ,10,3,0.3
full_res10,RC,PQ,15,4,0.26666666666666666
full_res10,RC,PQ,20,8,0.4
full_res10,RC,PR,3,1,0.3333333333333333
full_res10,RC,PR,5,1,0.2
full_res10,RC,PR,10,3,0.3
full_res10,RC,PR,15,4,0.26666666666666666
full_res10,RC,PR,20,8,0.4
full_res10,RC,NRW,3,1,0.3333333333333333
full_res10,RC,NRW,5,1,0.2
full_res10,RC,NRW,10,3,0.3
full_res10,RC,NRW,15,4,0.26666666666666666
full_res10,RC,NRW,20,8,0.4
full_res10,RC,ESP,3,3,1
full_res10,RC,ESP,5,5,1
full_res10,RC,ESP,10,10,1
full_res10,RC,ESP,15,14,0.9333333333333333
full_res10,RC,ESP,20,20,1
full_res10,RC,CEV,3,2,0.6666666666666666
full_res10,RC,CEV,5,5,1
full_res10,RC,CEV,10,7,0.7
full_res10,RC,CEV,15,11,0.7333333333333333
full_res10,RC,CEV,20,20,1
