resolution,score_i,score_j,correlation,p_value,n_common
10,APC,CEV,0.5012658227848101,4.673408968960795e-11,80
10,APC,CV_t,0.5012658227848101,4.673408968960795e-11,80
10,APC,D_slope,0.6031645569620253,2.398396381741419e-15,80
10,APC,ESP,0.46139240506329116,1.3825522985168478e-9,80
10,APC,ESPI,0.6645569620253164,2.6667251220564715e-18,80
10,APC,ESPIID,0.7981012658227848,1.089573923974816e-25,80
10,APC,EVS,0.6392405063291139,4.762438364575763e-17,80
10,APC,NRW,0.6645569620253164,2.6667251220564715e-18,80
10,APC,PFI,0.5955696202531645,5.3213041243128374e-15,80
10,APC,PILSM,0.5145569620253164,1.4236207690680186e-11,80
10,APC,PIR,0.4506329113924051,3.2938592614230733e-9,80
10,APC,PImd,0.5145569620253164,1.4236207690680186e-11,80
10,APC,PPF,0.47848101265822784,3.345684967014335e-10,80
10,APC,PPi,0.5145569620253164,1.4236207690680186e-11,80
10,APC,PQ,0.6645569620253164,2.6667251220564715e-18,80
10,APC,PR,0.6645569620253164,2.6667251220564715e-18,80
10,APC,PSI,-0.019620253164556962,0.7967240661481113,80
10,APC,RC,0.4550632911392405,2.3093208723851554e-9,80
10,APC,RDPI,0.47215189873417723,5.691106207472721e-10,80
10,APC,RN,0.012025316455696202,0.8745535866982759,80
10,APC,RNN,0.7575949367088608,2.6183440198828113e-23,80
10,APC,RPI,0.47215189873417723,5.691106207472721e-10,80
10,APC,RSI,-0.5012658227848101,4.673408968960795e-11,80
10,APC,RTR,0.02088607594936709,0.783924996124053,80
10,APC,SI,0.5816455696202532,2.2360598677613994e-14,80
10,APC,gPi,0.5012658227848101,4.673408968960795e-11,80
10,CEV,CV_t,1,2.253954062438668e-39,80
10,CEV,D_slope,0.5765822784810126,3.738138794213305e-14,80
10,CEV,ESP,0.9525316455696202,6.963044542370824e-36,80
10,CEV,ESPI,0.5746835443037974,4.527494911459453e-14,80
10,CEV,ESPIID,0.580379746835443,2.5436275225991763e-14,80
10,CEV,EVS,0.579746835443038,2.7126532635144987e-14,80
10,CEV,NRW,0.5746835443037974,4.527494911459453e-14,80
10,CEV,PFI,0.8550632911392405,3.0427997321905545e-29,80
10,CEV,PILSM,0.9259493670886076,5.295296186467334e-34,80
10,CEV,PIR,0.8569620253164557,2.2943375511293994e-29,80
10,CEV,PImd,0.9259493670886076,5.295296186467334e-34,80
10,CEV,PPF,0.8848101265822785,3.400265175700315e-31,80
10,CEV,PPi,0.9259493670886076,5.295296186467334e-34,80
10,CEV,PQ,0.5746835443037974,4.527494911459453e-14,80
10,CEV,PR,0.5746835443037974,4.527494911459453e-14,80
10,CEV,PSI,-0.13987341772151898,0.06630431487191875,80
10,CEV,RC,0.9462025316455697,1.9744470969842194e-35,80
10,CEV,RDPI,0.9481012658227848,1.4453216235160704e-35,80
10,CEV,RN,-0.015822784810126583,0.8354373550913812,80
10,CEV,RNN,0.5373417721518987,1.7307704113744703e-12,80
10,CEV,RPI,0.9481012658227848,1.4453216235160704e-35,80
10,CEV,RSI,-1,2.253954062438668e-39,80
10,CEV,RTR,-0.019620253164556962,0.7967240661481113,80
10,CEV,SI,0.8056962025316455,3.778419825866775e-26,80
10,CEV,gPi,1,2.253954062438668e-39,80
10,CV_t,D_slope,0.5765822784810126,3.738138794213305e-14,80
10,CV_t,ESP,0.9525316455696202,6.963044542370824e-36,80
10,CV_t,ESPI,0.5746835443037974,4.527494911459453e-14,80
10,CV_t,ESPIID,0.580379746835443,2.5436275225991763e-14,80
10,CV_t,EVS,0.579746835443038,2.7126532635144987e-14,80
10,CV_t,NRW,0.5746835443037974,4.527494911459453e-14,80
10,CV_t,PFI,0.8550632911392405,3.0427997321905545e-29,80
10,CV_t,PILSM,0.9259493670886076,5.295296186467334e-34,80
10,CV_t,PIR,0.8569620253164557,2.2943375511293994e-29,80
10,CV_t,PImd,0.9259493670886076,5.295296186467334e-34,80
10,CV_t,PPF,0.8848101265822785,3.400265175700315e-31,80
10,CV_t,PPi,0.9259493670886076,5.295296186467334e-34,80
10,CV_t,PQ,0.5746835443037974,4.527494911459453e-14,80
10,CV_t,PR,0.5746835443037974,4.527494911459453e-14,80
10,CV_t,PSI,-0.13987341772151898,0.06630431487191875,80
10,CV_t,RC,0.9462025316455697,1.9744470969842194e-35,80
10,CV_t,RDPI,0.9481012658227848,1.4453216235160704e-35,80
10,CV_t,RN,-0.015822784810126583,0.8354373550913812,80
10,CV_t,RNN,0.5373417721518987,1.7307704113744703e-12,80
10,CV_t,RPI,0.9481012658227848,1.4453216235160704e-35,80
10,CV_t,RSI,-1,2.253954062438668e-39,80
10,CV_t,RTR,-0.019620253164556962,0.7967240661481113,80
10,CV_t,SI,0.8056962025316455,3.778419825866775e-26,80
10,CV_t,gPi,1,2.253954062438668e-39,80
10,D_slope,ESP,0.5734177215189873,5.14255324069094e-14,80
10,D_slope,ESPI,0.9056962025316456,1.3238213209682543e-32,80
10,D_slope,ESPIID,0.8025316455696202,5.881320410684077e-26,80
10,D_slope,EVS,0.9006329113924051,2.9278488253830404e-32,80
10,D_slope,NRW,0.9056962025316456,1.3238213209682543e-32,80
10,D_slope,PFI,0.5354430379746835,2.069946765218905e-12,80
10,D_slope,PILSM,0.5936708860759494,6.4845180072687705e-15,80
10,D_slope,PIR,0.5968354430379746,4.662626696995652e-15,80
10,D_slope,PImd,0.5936708860759494,6.4845180072687705e-15,80
10,D_slope,PPF,0.5917721518987342,7.897170303012803e-15,80
10,D_slope,PPi,0.5936708860759494,6.4845180072687705e-15,80
10,D_slope,PQ,0.9056962025316456,1.3238213209682543e-32,80
10,D_slope,PR,0.9056962025316456,1.3238213209682543e-32,80
10,D_slope,PSI,-0.379746835443038,6.177145013677813e-7,80
10,D_slope,RC,0.5734177215189873,5.14255324069094e-14,80
10,D_slope,RDPI,0.5968354430379746,4.662626696995652e-15,80
10,D_slope,RN,0.05189873417721519,0.4956407936338855,80
10,D_slope,RNN,0.6544303797468355,8.558611910766481e-18,80
10,D_slope,RPI,0.5968354430379746,4.662626696995652e-15,80
10,D_slope,RSI,-0.5765822784810126,3.738138794213305e-14,80
10,D_slope,RTR,0.07341772151898734,0.3351052493834662,80
10,D_slope,SI,0.7569620253164557,2.846169114414655e-23,80
10,D_slope,gPi,0.5765822784810126,3.738138794213305e-14,80
10,ESP,ESPI,0.5626582278481013,1.501901417070166e-13,80
10,ESP,ESPIID,0.5544303797468354,3.3638207550276124e-13,80
10,ESP,EVS,0.580379746835443,2.5436275225991763e-14,80
10,ESP,NRW,0.5626582278481013,1.501901417070166e-13,80
10,ESP,PFI,0.8075949367088607,2.8950406271535034e-26,80
10,ESP,PILSM,0.8949367088607595,7.113439975250405e-32,80
10,ESP,PIR,0.8373417721518988,4.118849128871287e-28,80
10,ESP,PImd,0.8949367088607595,7.113439975250405e-32,80
10,ESP,PPF,0.8727848101265823,2.13029732966783e-30,80
10,ESP,PPi,0.8949367088607595,7.113439975250405e-32,80
10,ESP,PQ,0.5626582278481013,1.501901417070166e-13,80
10,ESP,PR,0.5626582278481013,1.501901417070166e-13,80
10,ESP,PSI,-0.1848101265822785,0.015252694731715602,80
10,ESP,RC,0.9936708860759493,6.728956254930451e-39,80
10,ESP,RDPI,0.9449367088607595,2.430061001597008e-35,80
10,ESP,RN,-0.02278481012658228,0.7648365125974788,80
10,ESP,RNN,0.5139240506329114,1.5075477393083014e-11,80
10,ESP,RPI,0.9449367088607595,2.430061001597008e-35,80
10,ESP,RSI,-0.9525316455696202,6.963044542370824e-36,80
10,ESP,RTR,-0.02531645569620253,0.7396076287226414,80
10,ESP,SI,0.7974683544303798,1.1895764096238735e-25,80
10,ESP,gPi,0.9525316455696202,6.963044542370824e-36,80
10,ESPI,ESPIID,0.8664556962025316,5.540632352296168e-30,80
10,ESPI,EVS,0.9379746835443038,7.575841233213928e-35,80
10,ESPI,NRW,1,2.253954062438668e-39,80
10,ESPI,PFI,0.5512658227848102,4.572938191727529e-13,80
10,ESPI,PILSM,0.5854430379746836,1.516577816244336e-14,80
10,ESPI,PIR,0.5746835443037974,4.527494911459453e-14,80
10,ESPI,PImd,0.5854430379746836,1.516577816244336e-14,80
10,ESPI,PPF,0.5734177215189873,5.14255324069094e-14,80
10,ESPI,PPi,0.5854430379746836,1.516577816244336e-14,80
10,ESPI,PQ,1,2.253954062438668e-39,80
10,ESPI,PR,1,2.253954062438668e-39,80
10,ESPI,PSI,-0.3550632911392405,3.1386542786051903e-6,80
10,ESPI,RC,0.5588607594936709,2.1821638994880266e-13,80
10,ESPI,RDPI,0.5746835443037974,4.527494911459453e-14,80
10,ESPI,RN,0.05126582278481013,0.500912102922122,80
10,ESPI,RNN,0.7132911392405064,7.633232682639261e-21,80
10,ESPI,RPI,0.5746835443037974,4.527494911459453e-14,80
10,ESPI,RSI,-0.5746835443037974,4.527494911459453e-14,80
10,ESPI,RTR,0.052531645569620256,0.49039924431606285,80
10,ESPI,SI,0.7613924050632911,1.584889660116398e-23,80
10,ESPI,gPi,0.5746835443037974,4.527494911459453e-14,80
10,ESPIID,EVS,0.8411392405063292,2.367416988868078e-28,80
10,ESPIID,NRW,0.8664556962025316,5.540632352296168e-30,80
10,ESPIID,PFI,0.6050632911392405,1.9621486438590034e-15,80
10,ESPIID,PILSM,0.589873417721519,9.611684651485609e-15,80
10,ESPIID,PIR,0.5512658227848102,4.572938191727529e-13,80
10,ESPIID,PImd,0.589873417721519,9.611684651485609e-15,80
10,ESPIID,PPF,0.5639240506329114,1.325328528810241e-13,80
10,ESPIID,PPi,0.589873417721519,9.611684651485609e-15,80
10,ESPIID,PQ,0.8664556962025316,5.540632352296168e-30,80
10,ESPIID,PR,0.8664556962025316,5.540632352296168e-30,80
10,ESPIID,PSI,-0.22151898734177214,0.0036344173796936394,80
10,ESPIID,RC,0.549367088607595,5.493627043298081e-13,80
10,ESPIID,RDPI,0.5702531645569621,7.062598656533432e-14,80
10,ESPIID,RN,0.026582278481012658,0.7270955835629014,80
10,ESPIID,RNN,0.7911392405063291,2.851766014238306e-25,80
10,ESPIID,RPI,0.5702531645569621,7.062598656533432e-14,80
10,ESPIID,RSI,-0.580379746835443,2.5436275225991763e-14,80
10,ESPIID,RTR,0.03291139240506329,0.6656797152734635,80
10,ESPIID,SI,0.7430379746835443,1.753458470339005e-22,80
10,ESPIID,gPi,0.580379746835443,2.5436275225991763e-14,80
10,EVS,NRW,0.9379746835443038,7.575841233213928e-35,80
10,EVS,PFI,0.529746835443038,3.5279998485387243e-12,80
10,EVS,PILSM,0.5753164556962025,4.247694723347609e-14,80
10,EVS,PIR,0.5721518987341773,5.839579824274152e-14,80
10,EVS,PImd,0.5753164556962025,4.247694723347609e-14,80
10,EVS,PPF,0.5810126582278481,2.3849716986932482e-14,80
10,EVS,PPi,0.5753164556962025,4.247694723347609e-14,80
10,EVS,PQ,0.9379746835443038,7.575841233213928e-35,80
10,EVS,PR,0.9379746835443038,7.575841233213928e-35,80
10,EVS,PSI,-0.380379746835443,5.917074952662234e-7,80
10,EVS,RC,0.5791139240506329,2.892714277831877e-14,80
10,EVS,RDPI,0.5822784810126582,2.096303243292961e-14,80
10,EVS,RN,0.04493670886075949,0.5552160836873392,80
10,EVS,RNN,0.6968354430379747,5.76939378199961e-20,80
10,EVS,RPI,0.5822784810126582,2.096303243292961e-14,80
10,EVS,RSI,-0.579746835443038,2.7126532635144987e-14,80
10,EVS,RTR,0.04746835443037975,0.533153520639205,80
10,EVS,SI,0.7740506329113924,2.9209018506619717e-24,80
10,EVS,gPi,0.579746835443038,2.7126532635144987e-14,80
10,NRW,PFI,0.5512658227848102,4.572938191727529e-13,80
10,NRW,PILSM,0.5854430379746836,1.516577816244336e-14,80
10,NRW,PIR,0.5746835443037974,4.527494911459453e-14,80
10,NRW,PImd,0.5854430379746836,1.516577816244336e-14,80
10,NRW,PPF,0.5734177215189873,5.14255324069094e-14,80
10,NRW,PPi,0.5854430379746836,1.516577816244336e-14,80
10,NRW,PQ,1,2.253954062438668e-39,80
10,NRW,PR,1,2.253954062438668e-39,80
10,NRW,PSI,-0.3550632911392405,3.1386542786051903e-6,80
10,NRW,RC,0.5588607594936709,2.1821638994880266e-13,80
10,NRW,RDPI,0.5746835443037974,4.527494911459453e-14,80
10,NRW,RN,0.05126582278481013,0.500912102922122,80
10,NRW,RNN,0.7132911392405064,7.633232682639261e-21,80
10,NRW,RPI,0.5746835443037974,4.527494911459453e-14,80
10,NRW,RSI,-0.5746835443037974,4.527494911459453e-14,80
10,NRW,RTR,0.052531645569620256,0.49039924431606285,80
10,NRW,SI,0.7613924050632911,1.584889660116398e-23,80
10,NRW,gPi,0.5746835443037974,4.527494911459453e-14,80
10,PFI,PILSM,0.8620253164556962,1.0773869821541057e-29,80
10,PFI,PIR,0.7613924050632911,1.584889660116398e-23,80
10,PFI,PImd,0.8620253164556962,1.0773869821541057e-29,80
10,PFI,PPF,0.7968354430379747,1.2986683579695694e-25,80
10,PFI,PPi,0.8620253164556962,1.0773869821541057e-29,80
10,PFI,PQ,0.5512658227848102,4.572938191727529e-13,80
10,PFI,PR,0.5512658227848102,4.572938191727529e-13,80
10,PFI,PSI,0.0012658227848101266,0.986740846331541,80
10,PFI,RC,0.8012658227848102,7.016694754191993e-26,80
10,PFI,RDPI,0.8132911392405063,1.2974255007753306e-26,80
10,PFI,RN,-0.0189873417721519,0.8031443980457138,80
10,PFI,RNN,0.5632911392405063,1.410903243339723e-13,80
10,PFI,RPI,0.8132911392405063,1.2974255007753306e-26,80
10,PFI,RSI,-0.8550632911392405,3.0427997321905545e-29,80
10,PFI,RTR,-0.024050632911392405,0.7521889749181708,80
10,PFI,SI,0.7316455696202532,7.573071367508609e-22,80
10,PFI,gPi,0.8550632911392405,3.0427997321905545e-29,80
10,PILSM,PIR,0.8879746835443038,2.089338223044468e-31,80
10,PILSM,PImd,1,2.253954062438668e-39,80
10,PILSM,PPF,0.8892405063291139,1.7186946128744366e-31,80
10,PILSM,PPi,1,2.253954062438668e-39,80
10,PILSM,PQ,0.5854430379746836,1.516577816244336e-14,80
10,PILSM,PR,0.5854430379746836,1.516577816244336e-14,80
10,PILSM,PSI,-0.1240506329113924,0.10339186360963745,80
10,PILSM,RC,0.889873417721519,1.5586515528716462e-31,80
10,PILSM,RDPI,0.939873417721519,5.560475911789805e-35,80
10,PILSM,RN,-0.020253164556962026,0.7903174614976886,80
10,PILSM,RNN,0.5253164556962026,5.320958253927726e-12,80
10,PILSM,RPI,0.939873417721519,5.560475911789805e-35,80
10,PILSM,RSI,-0.9259493670886076,5.295296186467334e-34,80
10,PILSM,RTR,-0.007594936708860759,0.9205730543915404,80
10,PILSM,SI,0.7886075949367088,4.038036708981735e-25,80
10,PILSM,gPi,0.9259493670886076,5.295296186467334e-34,80
10,PIR,PImd,0.8879746835443038,2.089338223044468e-31,80
10,PIR,PPF,0.9126582278481012,4.412940718860651e-33,80
10,PIR,PPi,0.8879746835443038,2.089338223044468e-31,80
10,PIR,PQ,0.5746835443037974,4.527494911459453e-14,80
10,PIR,PR,0.5746835443037974,4.527494911459453e-14,80
10,PIR,PSI,-0.1778481012658228,0.019547585818431544,80
10,PIR,RC,0.8386075949367089,3.425530536377073e-28,80
10,PIR,RDPI,0.8810126582278481,6.086044598859906e-31,80
10,PIR,RN,0.06772151898734177,0.3739505442450072,80
10,PIR,RNN,0.45759493670886076,1.882410891377839e-9,80
10,PIR,RPI,0.8810126582278481,6.086044598859906e-31,80
10,PIR,RSI,-0.8569620253164557,2.2943375511293994e-29,80
10,PIR,RTR,0.08417721518987342,0.2690988427151751,80
10,PIR,SI,0.7664556962025316,8.08410816735312e-24,80
10,PIR,gPi,0.8569620253164557,2.2943375511293994e-29,80
10,PImd,PPF,0.8892405063291139,1.7186946128744366e-31,80
10,PImd,PPi,1,2.253954062438668e-39,80
10,PImd,PQ,0.5854430379746836,1.516577816244336e-14,80
10,PImd,PR,0.5854430379746836,1.516577816244336e-14,80
10,PImd,PSI,-0.1240506329113924,0.10339186360963745,80
10,PImd,RC,0.889873417721519,1.5586515528716462e-31,80
10,PImd,RDPI,0.939873417721519,5.560475911789805e-35,80
10,PImd,RN,-0.020253164556962026,0.7903174614976886,80
10,PImd,RNN,0.5253164556962026,5.320958253927726e-12,80
10,PImd,RPI,0.939873417721519,5.560475911789805e-35,80
10,PImd,RSI,-0.9259493670886076,5.295296186467334e-34,80
10,PImd,RTR,-0.007594936708860759,0.9205730543915404,80
10,PImd,SI,0.7886075949367088,4.038036708981735e-25,80
10,PImd,gPi,0.9259493670886076,5.295296186467334e-34,80
10,PPF,PPi,0.8892405063291139,1.7186946128744366e-31,80
10,PPF,PQ,0.5734177215189873,5.14255324069094e-14,80
10,PPF,PR,0.5734177215189873,5.14255324069094e-14,80
10,PPF,PSI,-0.160126582278481,0.03553057802383979,80
10,PPF,RC,0.8740506329113924,1.7581632727326374e-30,80
10,PPF,RDPI,0.8936708860759494,8.658161290396571e-32,80
10,PPF,RN,0.086708860759493675,0.2549628842816699,80
10,PPF,RNN,0.509493670886076,2.24690768664067e-11,80
10,PPF,RPI,0.8936708860759494,8.658161290396571e-32,80
10,PPF,RSI,-0.8848101265822785,3.400265175700315e-31,80
10,PPF,RTR,0.09430379746835443,0.21568291382010404,80
10,PPF,SI,0.7867088607594936,5.237818859414254e-25,80
10,PPF,gPi,0.8848101265822785,3.400265175700315e-31,80
10,PPi,PQ,0.5854430379746836,1.516577816244336e-14,80
10,PPi,PR,0.5854430379746836,1.516577816244336e-14,80
10,PPi,PSI,-0.1240506329113924,0.10339186360963745,80
10,PPi,RC,0.889873417721519,1.5586515528716462e-31,80
10,PPi,RDPI,0.939873417721519,5.560475911789805e-35,80
10,PPi,RN,-0.020253164556962026,0.7903174614976886,80
10,PPi,RNN,0.5253164556962026,5.320958253927726e-12,80
10,PPi,RPI,0.939873417721519,5.560475911789805e-35,80
10,PPi,RSI,-0.9259493670886076,5.295296186467334e-34,80
10,PPi,RTR,-0.007594936708860759,0.9205730543915404,80
10,PPi,SI,0.7886075949367088,4.038036708981735e-25,80
10,PPi,gPi,0.9259493670886076,5.295296186467334e-34,80
10,PQ,PR,1,2.253954062438668e-39,80
10,PQ,PSI,-0.3550632911392405,3.1386542786051903e-6,80
10,PQ,RC,0.5588607594936709,2.1821638994880266e-13,80
10,PQ,RDPI,0.5746835443037974,4.527494911459453e-14,80
10,PQ,RN,0.05126582278481013,0.500912102922122,80
10,PQ,RNN,0.7132911392405064,7.633232682639261e-21,80
10,PQ,RPI,0.5746835443037974,4.527494911459453e-14,80
10,PQ,RSI,-0.5746835443037974,4.527494911459453e-14,80
10,PQ,RTR,0.052531645569620256,0.49039924431606285,80
10,PQ,SI,0.7613924050632911,1.584889660116398e-23,80
10,PQ,gPi,0.5746835443037974,4.527494911459453e-14,80
10,PR,PSI,-0.3550632911392405,3.1386542786051903e-6,80
10,PR,RC,0.5588607594936709,2.1821638994880266e-13,80
10,PR,RDPI,0.5746835443037974,4.527494911459453e-14,80
10,PR,RN,0.05126582278481013,0.500912102922122,80
10,PR,RNN,0.7132911392405064,7.633232682639261e-21,80
10,PR,RPI,0.5746835443037974,4.527494911459453e-14,80
10,PR,RSI,-0.5746835443037974,4.527494911459453e-14,80
10,PR,RTR,0.052531645569620256,0.49039924431606285,80
10,PR,SI,0.7613924050632911,1.584889660116398e-23,80
10,PR,gPi,0.5746835443037974,4.527494911459453e-14,80
10,PSI,RC,-0.1911392405063291,0.01209309397225617,80
10,PSI,RDPI,-0.17151898734177215,0.02433320486469577,80
10,PSI,RN,-0.026582278481012658,0.7270955835629014,80
10,PSI,RNN,-0.07721518987341772,0.31070796338624296,80
10,PSI,RPI,-0.17151898734177215,0.02433320486469577,80
10,PSI,RSI,0.13987341772151898,0.06630431487191875,80
10,PSI,RTR,-0.04430379746835443,0.56080061193025,80
10,PSI,SI,-0.24430379746835443,0.0013394090393794788,80
10,PSI,gPi,-0.13987341772151898,0.06630431487191875,80
10,RC,RDPI,0.9449367088607595,2.430061001597008e-35,80
10,RC,RN,-0.0189873417721519,0.8031443980457138,80
10,RC,RNN,0.5088607594936709,2.3780819544660996e-11,80
10,RC,RPI,0.9449367088607595,2.430061001597008e-35,80
10,RC,RSI,-0.9462025316455697,1.9744470969842194e-35,80
10,RC,RTR,-0.021518987341772152,0.7775470791972132,80
10,RC,SI,0.7936708860759494,2.0117868251635152e-25,80
10,RC,gPi,0.9462025316455697,1.9744470969842194e-35,80
10,RDPI,RN,-0.019620253164556962,0.7967240661481113,80
10,RDPI,RNN,0.510759493670886,2.005459418969302e-11,80
10,RDPI,RPI,1,2.253954062438668e-39,80
10,RDPI,RSI,-0.9481012658227848,1.4453216235160704e-35,80
10,RDPI,RTR,-0.010759493670886076,0.8876657155114144,80
10,RDPI,SI,0.8018987341772152,6.424192950357098e-26,80
10,RDPI,gPi,0.9481012658227848,1.4453216235160704e-35,80
10,RN,RNN,-0.03164556962025317,0.6778006230835025,80
10,RN,RPI,-0.019620253164556962,0.7967240661481113,80
10,RN,RSI,0.015822784810126583,0.8354373550913812,80
10,RN,RTR,0.789873417721519,3.393919356212325e-25,80
10,RN,SI,0.008860759493670886,0.9073905764323978,80
10,RN,gPi,-0.015822784810126583,0.8354373550913812,80
10,RNN,RPI,0.510759493670886,2.005459418969302e-11,80
10,RNN,RSI,-0.5373417721518987,1.7307704113744703e-12,80
10,RNN,RTR,-0.016455696202531647,0.8289546618915424,80
10,RNN,SI,0.6341772151898735,8.365971457392206e-17,80
10,RNN,gPi,0.5373417721518987,1.7307704113744703e-12,80
10,RPI,RSI,-0.9481012658227848,1.4453216235160704e-35,80
10,RPI,RTR,-0.010759493670886076,0.8876657155114144,80
10,RPI,SI,0.8018987341772152,6.424192950357098e-26,80
10,RPI,gPi,0.9481012658227848,1.4453216235160704e-35,80
10,RSI,RTR,0.019620253164556962,0.7967240661481113,80
10,RSI,SI,-0.8056962025316455,3.778419825866775e-26,80
10,RSI,gPi,-1,2.253954062438668e-39,80
10,RTR,SI,0.005063291139240506,0.9469999803014247,80
10,RTR,gPi,-0.019620253164556962,0.7967240661481113,80
10,SI,gPi,0.8056962025316455,3.778419825866775e-26,80
